trainingSize	b1_accuracy	b1_sd	b1_se	b1_precision	b1_recall	b2_accuracy	b2_sd	b2_se	b2_precision	b2_recall	b3_accuracy	b3_sd	b3_se	b3_precision	b3_recall	b4_accuracy	b4_sd	b4_se	b4_precision	b4_recall

0.4	0.6621	0.0091	0.0029	0.2327	0.2224	0.6912	0.0075	0.0024	0.5372	0.4133	0.6532	0.0039	0.0012	0.4651	0.3951	0.6974	0.0034	0.0011	0.5523	0.4043
0.5	0.6693	0.0065	0.0021	0.0445	0.0223	0.6937	0.0047	0.0015	0.5446	0.4185	0.6542	0.0046	0.0015	0.4691	0.383	0.6962	0.0039	0.0012	0.5525	0.4027
0.6	0.662	0.0065	0.002	0.2697	0.1506	0.6863	0.0062	0.002	0.5267	0.4241	0.6531	0.0037	0.0012	0.4652	0.394	0.694	0.0073	0.0023	0.5429	0.4214
0.7	0.6699	0.0045	0.0014	0.0	0.0	0.6912	0.0064	0.002	0.5387	0.4487	0.6591	0.0065	0.0021	0.4805	0.4029	0.6939	0.0058	0.0018	0.5451	0.4384
0.8	0.6687	0.0127	0.004	0.0868	0.043	0.6871	0.007	0.0022	0.525	0.4508	0.6547	0.0072	0.0023	0.4673	0.4013	0.691	0.0048	0.0015	0.5335	0.4422
0.9	0.6705	0.0068	0.0022	0.0436	0.0226	0.6897	0.0078	0.0025	0.5305	0.4618	0.6582	0.0103	0.0033	0.4748	0.4072	0.6923	0.0123	0.0039	0.5373	0.4466
1.0	0.6721	0.0055	0.0018	0.0	0.0	0.6864	0.0082	0.0026	0.5252	0.4572	0.6565	0.0083	0.0026	0.4726	0.4044	0.6917	0.0121	0.0038	0.5362	0.4505



0.4	0.6629	0.0115	0.0036	0.0882	0.0424	0.6927	0.007	0.0022	0.5545	0.4018	0.6573	0.0106	0.0034	0.4819	0.374	0.698	0.0107	0.0034	0.5682	0.392
0.6	0.6722	0.0113	0.0036	0.0432	0.0211	0.6927	0.0117	0.0037	0.5355	0.4329	0.6583	0.0112	0.0035	0.4706	0.3812	0.6964	0.0079	0.0025	0.5448	0.4223
0.7	0.6654	0.011	0.0035	0.0456	0.0224	0.6806	0.009	0.0028	0.5253	0.4293	0.6552	0.0118	0.0037	0.4787	0.3957	0.6868	0.0147	0.0046	0.5381	0.4211
0.8	0.671	0.0094	0.003	0.0923	0.0439	0.6854	0.0076	0.0024	0.5216	0.4528	0.6585	0.0087	0.0027	0.4738	0.4078	0.6943	0.0086	0.0027	0.5393	0.444
0.9	0.6729	0.0121	0.0038	0.044	0.0214	0.6896	0.0136	0.0043	0.5257	0.4641	0.6566	0.0046	0.0014	0.4682	0.4076	0.695	0.0122	0.0039	0.5359	0.4632
1.0	0.6634	0.0118	0.0037	0.1232	0.0603	0.6877	0.0112	0.0035	0.5283	0.4546	0.6569	0.0054	0.0017	0.4736	0.4094	0.6915	0.0072	0.0023	0.5362	0.4457
