trainingSize	b1_accuracy	b1_sd	b1_se	b1_precision	b1_recall	b2_accuracy	b2_sd	b2_se	b2_precision	b2_recall	b3_accuracy	b3_sd	b3_se	b3_precision	b3_recall	b4_accuracy	b4_sd	b4_se	b4_precision	b4_recall

0.4	0.685	0.003	0.0009	0.0	0.0	0.9119	0.0039	0.0012	0.9155	0.7937	0.8138	0.005	0.0016	0.7574	0.6021	0.9161	0.0048	0.0015	0.9334	0.7901
0.5	0.688	0.0049	0.0015	0.0	0.0	0.9162	0.0039	0.0012	0.9129	0.8086	0.8176	0.0059	0.0019	0.7533	0.6183	0.92	0.004	0.0013	0.9274	0.8068
0.6	0.6852	0.0054	0.0017	0.0	0.0	0.9161	0.003	0.0009	0.9177	0.8058	0.8158	0.0049	0.0015	0.7476	0.6269	0.9208	0.0018	0.0006	0.9317	0.8074
0.7	0.6873	0.0065	0.0021	0.0	0.0	0.9212	0.005	0.0016	0.9144	0.8253	0.8247	0.005	0.0016	0.7605	0.6419	0.9278	0.0044	0.0014	0.9298	0.8319
0.8	0.6838	0.0055	0.0018	0.0	0.0	0.9209	0.0047	0.0015	0.9112	0.8307	0.8244	0.0064	0.002	0.764	0.6442	0.9284	0.0045	0.0014	0.9293	0.8371
0.9	0.6872	0.0101	0.0032	0.0	0.0	0.9224	0.004	0.0013	0.9052	0.8398	0.8248	0.0075	0.0024	0.7578	0.6472	0.928	0.0032	0.001	0.922	0.8411
1.0	0.6858	0.0099	0.0031	0.0	0.0	0.9245	0.0085	0.0027	0.913	0.8402	0.8272	0.0076	0.0024	0.7608	0.6578	0.9298	0.0068	0.0022	0.9233	0.8472




0.4	0.6879	0.012	0.0038	0.0	0.0	0.91	0.0054	0.0017	0.9157	0.784	0.8132	0.0051	0.0016	0.7548	0.5945	0.913	0.0071	0.0022	0.9287	0.7817
0.6	0.6834	0.0086	0.0027	0.0	0.0	0.9169	0.0076	0.0024	0.9191	0.8093	0.8147	0.007	0.0022	0.7543	0.6157	0.921	0.0062	0.002	0.93	0.812
0.7	0.6875	0.0084	0.0026	0.0	0.0	0.9219	0.0061	0.0019	0.9123	0.8303	0.8222	0.0136	0.0043	0.7535	0.6416	0.9294	0.0055	0.0017	0.9297	0.8379
0.8	0.6886	0.0082	0.0026	0.0	0.0	0.9182	0.0068	0.0022	0.9106	0.8176	0.8245	0.0096	0.003	0.7694	0.6239	0.9267	0.0059	0.0019	0.9281	0.8287
0.9	0.692	0.0069	0.0022	0.0	0.0	0.924	0.0064	0.002	0.9091	0.8372	0.8237	0.01	0.0032	0.7519	0.6393	0.93	0.0058	0.0018	0.9263	0.8397
1.0	0.6849	0.0101	0.0032	0.0	0.0	0.9251	0.0046	0.0015	0.9049	0.8518	0.828	0.0079	0.0025	0.7654	0.6555	0.9329	0.0048	0.0015	0.923	0.8589
